title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
De belofte,Damon Galgut,4.0,3.86,2021,318,data/goodreads/clean/goodreads_library_export-thirsa.csv
De opkomst van de meritocratie,Michael Young,4.0,3.8,1958,192,data/goodreads/clean/goodreads_library_export-thirsa.csv
Utopia Avenue,David Mitchell,2.0,4.0,2020,574,data/goodreads/clean/goodreads_library_export-thirsa.csv
Een zeeman door de zee verstoten,Yukio Mishima,3.0,3.85,1963,160,data/goodreads/clean/goodreads_library_export-thirsa.csv
De zwemmers,Julie Otsuka,4.0,3.67,2022,118,data/goodreads/clean/goodreads_library_export-thirsa.csv
De stad der blinden,José Saramago,3.0,4.17,1995,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Het recht van de Radch (Imperial Radch, #1)",Ann Leckie,4.0,3.99,2013,400,data/goodreads/clean/goodreads_library_export-thirsa.csv
Buurtsupermens,Sayaka Murata,4.0,3.68,2016,143,data/goodreads/clean/goodreads_library_export-thirsa.csv
Snow Crash,Neal Stephenson,3.0,4.02,1992,559,data/goodreads/clean/goodreads_library_export-thirsa.csv
Slapen in een Zee van Sterren,Christopher Paolini,2.0,3.8,2020,880,data/goodreads/clean/goodreads_library_export-thirsa.csv
Cox of het verglijden van de tijd,Christoph Ransmayr,2.0,3.56,2016,240,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Shards of Earth (The Final Architecture, #1)",Adrian Tchaikovsky,4.0,4.19,2021,,data/goodreads/clean/goodreads_library_export-thirsa.csv
Orakel,Thomas Olde Heuvelt,2.0,3.75,2021,459,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Ready Player Two (Ready Player One, #2)",Ernest Cline,3.0,3.43,2020,370,data/goodreads/clean/goodreads_library_export-thirsa.csv
Orkaanseizoen,Fernanda Melchor,3.0,4.06,2017,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
De menselijke maat,Roberto Camurri,3.0,3.41,2018,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
De tuin van de avondnevel,Tan Twan Eng,4.0,4.14,2011,374,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,3.0,4.3,2015,608,data/goodreads/clean/goodreads_library_export-thirsa.csv
De Mitsukoshi Troostbaby Company,Auke Hulst,5.0,4.07,2021,608,data/goodreads/clean/goodreads_library_export-thirsa.csv
Earthlings,Sayaka Murata,2.0,3.6,2018,247,data/goodreads/clean/goodreads_library_export-thirsa.csv
Cage of Souls,Adrian Tchaikovsky,4.0,4.13,2019,602,data/goodreads/clean/goodreads_library_export-thirsa.csv
Wij zijn licht,Gerda Blees,4.0,3.69,2020,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
De aarde blijft altijd bestaan,George R. Stewart,3.0,3.95,1949,464,data/goodreads/clean/goodreads_library_export-thirsa.csv
Mother Night,Kurt Vonnegut Jr.,4.0,4.23,1961,282,data/goodreads/clean/goodreads_library_export-thirsa.csv
De gifhouten bijbel,Barbara Kingsolver,3.0,4.1,1998,566,data/goodreads/clean/goodreads_library_export-thirsa.csv
De geschiedenis van mijn seksualiteit,Sofie Lakmaker,4.0,3.76,2021,223,data/goodreads/clean/goodreads_library_export-thirsa.csv
De meermin en de courtisane,Imogen Hermes Gowar,3.0,3.55,2018,575,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Look to Windward (Culture, #7)",Iain M. Banks,3.0,4.22,2000,496,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Matter (Culture, #8)",Iain M. Banks,4.0,4.1,2008,593,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het boek van Gould: een roman in 12 vissen,Richard Flanagan,3.0,3.7,1997,384,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,3.0,4.26,1990,491,data/goodreads/clean/goodreads_library_export-thirsa.csv
Een klein leven,Hanya Yanagihara,1.0,4.32,2015,725,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Drowned World,J.G. Ballard,3.0,3.48,1962,198,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Stars My Destination,Alfred Bester,4.0,4.06,1956,258,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Caves of Steel (Robot, #1)",Isaac Asimov,3.0,4.19,1953,206,data/goodreads/clean/goodreads_library_export-thirsa.csv
De avond is ongemak,Marieke Lucas Rijneveld,4.0,3.45,2018,260,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het kaartenhuis,Mark Z. Danielewski,4.0,4.09,2000,713,data/goodreads/clean/goodreads_library_export-thirsa.csv
Als op een winternacht een reiziger,Italo Calvino,4.0,4.03,1979,300,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Consider Phlebas (Culture, #1)",Iain M. Banks,4.0,3.85,1987,467,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Dutch House,Ann Patchett,4.0,4.1,2019,337,data/goodreads/clean/goodreads_library_export-thirsa.csv
De jongens van Nickel,Colson Whitehead,4.0,4.26,2019,271,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Thousand Autumns of Jacob de Zoet,David Mitchell,4.0,4.02,2010,479,data/goodreads/clean/goodreads_library_export-thirsa.csv
De geestverwantschap,David Mitchell,3.0,4.05,1999,444,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Authority (Southern Reach, #2)",Jeff VanderMeer,2.0,3.54,2014,341,data/goodreads/clean/goodreads_library_export-thirsa.csv
De Loney,Andrew Michael Hurley,2.0,3.27,2014,344,data/goodreads/clean/goodreads_library_export-thirsa.csv
Duivelsdag,Andrew Michael Hurley,3.0,3.39,2017,320,data/goodreads/clean/goodreads_library_export-thirsa.csv
De acht bergen,Paolo Cognetti,4.0,4.1,2016,239,data/goodreads/clean/goodreads_library_export-thirsa.csv
De Wespenfabriek,Iain Banks,3.0,3.77,1984,207,data/goodreads/clean/goodreads_library_export-thirsa.csv
Machines zoals ik,Ian McEwan,2.0,3.59,2019,352,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,4.0,3.77,2014,195,data/goodreads/clean/goodreads_library_export-thirsa.csv
Solaris,Stanisław Lem,3.0,3.99,1961,204,data/goodreads/clean/goodreads_library_export-thirsa.csv
Who Fears Death,Nnedi Okorafor,2.0,3.94,2010,386,data/goodreads/clean/goodreads_library_export-thirsa.csv
Washington Black,Esi Edugyan,4.0,3.95,2018,334,data/goodreads/clean/goodreads_library_export-thirsa.csv
Frankusstein,Jeanette Winterson,4.0,3.54,2019,374,data/goodreads/clean/goodreads_library_export-thirsa.csv
De grote angst in de bergen,Charles-Ferdinand Ramuz,5.0,3.62,1925,190,data/goodreads/clean/goodreads_library_export-thirsa.csv
Alice Isn't Dead,Joseph Fink,2.0,3.62,2018,323,data/goodreads/clean/goodreads_library_export-thirsa.csv
De avonturen van Alexander von Humboldt,Andrea Wulf,4.0,4.21,2019,269,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het bolwerk,Matilda Gustavsson,4.0,4.29,2019,286,data/goodreads/clean/goodreads_library_export-thirsa.csv
Tot in de hemel,Richard Powers,5.0,4.12,2018,608,data/goodreads/clean/goodreads_library_export-thirsa.csv
De bekentenissen van Frannie Langton,Sara  Collins,3.0,3.57,2019,416,data/goodreads/clean/goodreads_library_export-thirsa.csv
De pest,Albert Camus,4.0,4.02,1947,277,data/goodreads/clean/goodreads_library_export-thirsa.csv
Bijna een paradijs,John Cheever,3.0,3.47,1977,156,data/goodreads/clean/goodreads_library_export-thirsa.csv
Melmoth,Sarah Perry,2.0,3.43,2018,,data/goodreads/clean/goodreads_library_export-thirsa.csv
Echo,Thomas Olde Heuvelt,2.0,3.46,2019,616,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het ijspaleis,Tarjei Vesaas,4.0,3.86,1963,141,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het achtste leven [voor Brilka],Nino Haratischwili,4.0,4.52,2014,1275,data/goodreads/clean/goodreads_library_export-thirsa.csv
De goede zoon,Rob van Essen,4.0,3.35,2018,384,data/goodreads/clean/goodreads_library_export-thirsa.csv
De ontembare,Guillermo Arriaga,4.0,4.42,2016,678,data/goodreads/clean/goodreads_library_export-thirsa.csv
Catch-22,Joseph Heller,4.0,3.99,1961,453,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,4.0,3.9,2010,427,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Neverwhere (London Below, #1)",Neil Gaiman,2.0,4.17,1996,370,data/goodreads/clean/goodreads_library_export-thirsa.csv
Postkantoor,Charles Bukowski,2.0,3.93,1971,207,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,4.0,4.3,2016,410,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.0,4.3,2015,468,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het boek der illusies,Paul Auster,3.0,3.9,2002,278,data/goodreads/clean/goodreads_library_export-thirsa.csv
Alles wat er was,Hanna Bervoets,2.0,3.47,2013,284,data/goodreads/clean/goodreads_library_export-thirsa.csv
Pachinko,Min Jin Lee,4.0,4.34,2017,496,data/goodreads/clean/goodreads_library_export-thirsa.csv
Robopocalyps,Daniel H. Wilson,4.0,3.7,2011,381,data/goodreads/clean/goodreads_library_export-thirsa.csv
My Friend Dahmer: A Graphic Novel,Derf Backderf,3.0,3.92,2012,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het boek Joan (Dutch Edition),Lidia Yuknavitch,1.0,3.01,2017,256,data/goodreads/clean/goodreads_library_export-thirsa.csv
Liefde in de Kaukasus,Alisa Ganieva,3.0,3.61,2015,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
Toekomstig huis van de levende god,Louise Erdrich,3.0,3.6,2017,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
En ik herinner me Titus Broederland,Auke Hulst,4.0,3.74,2016,272,data/goodreads/clean/goodreads_library_export-thirsa.csv
Gebrek is een groot woord,Nina Polak,4.0,3.54,2018,240,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Een Idea verschijnt (De moord op Commendatore, #1)",Haruki Murakami,2.0,4.06,2017,507,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Haunting of Hill House,Shirley Jackson,3.0,3.82,1959,182,data/goodreads/clean/goodreads_library_export-thirsa.csv
Fight Club,Chuck Palahniuk,4.0,4.18,1996,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het monster van Essex,Sarah Perry,3.0,3.53,2016,414,data/goodreads/clean/goodreads_library_export-thirsa.csv
De speler,Fyodor Dostoevsky,2.0,3.91,1866,206,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Ocean at the End of the Lane,Neil Gaiman,5.0,4.02,2013,181,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Borne (Borne, #1)",Jeff VanderMeer,4.0,3.93,2017,323,data/goodreads/clean/goodreads_library_export-thirsa.csv
"1Q84 (1Q84, #1-3)",Haruki Murakami,3.0,3.95,2009,944,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Descender, Vol. 1: Tin Stars",Jeff Lemire,4.0,4.08,2015,160,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Necrophiliac,Gabrielle Wittkop,4.0,3.8,1972,92,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Geheimen van het Wilde Woud  (De brief voor de koning, #2)",Tonke Dragt,4.0,4.22,1965,469,data/goodreads/clean/goodreads_library_export-thirsa.csv
Moxyland,Lauren Beukes,3.0,3.58,2008,367,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Left Hand of Darkness,Ursula K. Le Guin,3.0,4.1,1969,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Rosemary’s Baby (Rosemary's Baby, #1)",Ira Levin,3.0,4.04,1967,308,data/goodreads/clean/goodreads_library_export-thirsa.csv
De gespleten burggraaf,Italo Calvino,5.0,3.82,1952,114,data/goodreads/clean/goodreads_library_export-thirsa.csv
Ice,Anna Kavan,4.0,3.66,1967,158,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Foundation (Foundation, #1)",Isaac Asimov,3.0,4.17,1951,244,data/goodreads/clean/goodreads_library_export-thirsa.csv
Planet Paradroid,P.J. Pancras,3.0,3.75,2015,618,data/goodreads/clean/goodreads_library_export-thirsa.csv
Cat’s Cradle,Kurt Vonnegut Jr.,4.0,4.15,1963,306,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Shining Girls,Lauren Beukes,3.0,3.55,2013,368,data/goodreads/clean/goodreads_library_export-thirsa.csv
Gebroken monsters,Lauren Beukes,3.0,3.59,2014,479,data/goodreads/clean/goodreads_library_export-thirsa.csv
De Macht,Naomi Alderman,4.0,3.76,2016,359,data/goodreads/clean/goodreads_library_export-thirsa.csv
Oorlog met de salamanders,Karel Čapek,4.0,4.17,1936,286,data/goodreads/clean/goodreads_library_export-thirsa.csv
De stad van de wilde goden,Isabel Allende,2.0,3.74,2002,285,data/goodreads/clean/goodreads_library_export-thirsa.csv
Koorts,Deon Meyer,4.0,4.29,2016,480,data/goodreads/clean/goodreads_library_export-thirsa.csv
Rampokan Jawa & Selebes,Peter van Dongen,3.0,3.58,2013,161,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.0,4.21,1993,345,data/goodreads/clean/goodreads_library_export-thirsa.csv
Kraut,Peter Pontiac,4.0,3.85,2005,,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,2.0,4.08,2006,472,data/goodreads/clean/goodreads_library_export-thirsa.csv
High-Rise,J.G. Ballard,4.0,3.61,1975,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
Onzichtbaar,Paul Auster,4.0,3.74,2009,238,data/goodreads/clean/goodreads_library_export-thirsa.csv
Wij waren hier,Karen Thompson Walker,3.0,3.66,2012,254,data/goodreads/clean/goodreads_library_export-thirsa.csv
Notities uit de jungle,Hanya Yanagihara,4.0,3.73,2013,416,data/goodreads/clean/goodreads_library_export-thirsa.csv
We hebben altijd in het kasteel gewoond,Shirley Jackson,4.0,3.93,1962,202,data/goodreads/clean/goodreads_library_export-thirsa.csv
De ondraaglijke lichtheid van het bestaan,Milan Kundera,2.0,4.11,1984,361,data/goodreads/clean/goodreads_library_export-thirsa.csv
Clausewitz,Joost de Vries,3.0,3.14,2010,229,data/goodreads/clean/goodreads_library_export-thirsa.csv
Ivanov,Hanna Bervoets,3.0,3.62,2016,320,data/goodreads/clean/goodreads_library_export-thirsa.csv
De geheime droom van het land,Héctor Abad Faciolince,3.0,4.07,2014,412,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.0,3.74,1958,215,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het huis van de vier winden,Elif Shafak,4.0,4.13,2011,0,data/goodreads/clean/goodreads_library_export-thirsa.csv
A Man Lies Dreaming,Lavie Tidhar,4.0,3.84,2014,288,data/goodreads/clean/goodreads_library_export-thirsa.csv
Noodweer,Marijke Schermer,5.0,3.68,2016,158,data/goodreads/clean/goodreads_library_export-thirsa.csv
Efter,Hanna Bervoets,3.0,3.29,2014,312,data/goodreads/clean/goodreads_library_export-thirsa.csv
Hex,Thomas Olde Heuvelt,4.0,3.73,2013,384,data/goodreads/clean/goodreads_library_export-thirsa.csv
Fuzzie,Hanna Bervoets,4.0,3.31,2017,287,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het doel en de leegte,Paul Murray,3.0,3.63,2015,427,data/goodreads/clean/goodreads_library_export-thirsa.csv
Kinderen van het ruige land,Auke Hulst,5.0,3.71,2012,257,data/goodreads/clean/goodreads_library_export-thirsa.csv
4 3 2 1,Paul Auster,4.0,3.96,2017,866,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het lelietheater,Lulu Wang,3.0,3.65,1997,495,data/goodreads/clean/goodreads_library_export-thirsa.csv
Binu en de Chinese muur,Su Tong,2.0,2.92,2006,224,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Slaap zacht, Johnny Idaho",Auke Hulst,3.0,3.32,2015,416,data/goodreads/clean/goodreads_library_export-thirsa.csv
"13 uur (Bennie Griessel, #2)",Deon Meyer,4.0,4.1,2008,406,data/goodreads/clean/goodreads_library_export-thirsa.csv
De stad aan de rand van de hemel,Elif Shafak,5.0,4.03,2013,0,data/goodreads/clean/goodreads_library_export-thirsa.csv
Wilde Zwanen: Drie Dochters van China,Jung Chang,4.0,4.29,1991,561,data/goodreads/clean/goodreads_library_export-thirsa.csv
Pnin,Vladimir Nabokov,4.0,3.89,1957,184,data/goodreads/clean/goodreads_library_export-thirsa.csv
De horlogemaker van Londen,Natasha Pulley,4.0,3.73,2015,352,data/goodreads/clean/goodreads_library_export-thirsa.csv
Pedro Páramo,Juan Rulfo,4.0,4.05,1955,124,data/goodreads/clean/goodreads_library_export-thirsa.csv
We zullen niet te pletter slaan,Nina Polak,3.0,3.58,2014,261,data/goodreads/clean/goodreads_library_export-thirsa.csv
Wolfskleren,Auke Hulst,3.0,2.62,2009,302,data/goodreads/clean/goodreads_library_export-thirsa.csv
Judas,Amos Oz,3.0,3.86,2014,303,data/goodreads/clean/goodreads_library_export-thirsa.csv
Never Let Me Go,Kazuo Ishiguro,3.0,3.85,2005,288,data/goodreads/clean/goodreads_library_export-thirsa.csv
De zomer die alles deed smelten,Tiffany   McDaniel,5.0,4.02,2016,368,data/goodreads/clean/goodreads_library_export-thirsa.csv
Miguel Street,V.S. Naipaul,3.0,3.95,1959,222,data/goodreads/clean/goodreads_library_export-thirsa.csv
Watchmen,Alan Moore,4.0,4.38,1987,416,data/goodreads/clean/goodreads_library_export-thirsa.csv
Alias Grace,Margaret Atwood,4.0,4.04,1996,636,data/goodreads/clean/goodreads_library_export-thirsa.csv
Staat van verwondering,Ann Patchett,3.0,3.9,2011,432,data/goodreads/clean/goodreads_library_export-thirsa.csv
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.0,4.17,1968,297,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Nix,Nathan  Hill,5.0,4.08,2016,625,data/goodreads/clean/goodreads_library_export-thirsa.csv
Cloud Atlas,David Mitchell,4.0,4.01,2004,509,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Windup Girl,Paolo Bacigalupi,3.0,3.75,2009,359,data/goodreads/clean/goodreads_library_export-thirsa.csv
The MaddAddam Trilogy: Oryx and Crake / The Year of the Flood / MaddAddam,Margaret Atwood,3.0,4.52,2013,1497,data/goodreads/clean/goodreads_library_export-thirsa.csv
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.0,4.2,1962,325,data/goodreads/clean/goodreads_library_export-thirsa.csv
Vechtmemoires,Joost de Vries,3.0,3.4,2014,239,data/goodreads/clean/goodreads_library_export-thirsa.csv
De meester en Margarita,Mikhail Bulgakov,3.0,4.29,1967,448,data/goodreads/clean/goodreads_library_export-thirsa.csv
"De eerlijke vinder (Bill Hodges Trilogy, #2)",Stephen        King,3.0,4.07,2015,384,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het stenen matras,Margaret Atwood,4.0,3.89,2014,288,data/goodreads/clean/goodreads_library_export-thirsa.csv
Het Interessegebied,Martin Amis,4.0,3.7,2014,349,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen        King,3.0,4.02,2014,437,data/goodreads/clean/goodreads_library_export-thirsa.csv
De geheime tuin,Frances Hodgson Burnett,3.0,4.16,1911,218,data/goodreads/clean/goodreads_library_export-thirsa.csv
De woongroep,Franca Treur,3.0,2.79,2014,338,data/goodreads/clean/goodreads_library_export-thirsa.csv
De ijsbaan,Roberto Bolaño,3.0,3.69,1993,205,data/goodreads/clean/goodreads_library_export-thirsa.csv
De vrouw van de tijdreiziger,Audrey Niffenegger,4.0,4.0,2003,512,data/goodreads/clean/goodreads_library_export-thirsa.csv
Jurasic Parc,Michael Crichton,4.0,4.11,1990,659,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,4.0,4.37,1987,746,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Magic Toyshop,Angela Carter,4.0,3.8,1967,200,data/goodreads/clean/goodreads_library_export-thirsa.csv
Een honger,Jamal Ouariachi,4.0,4.03,2015,592,data/goodreads/clean/goodreads_library_export-thirsa.csv
Al onze namen,Dinaw Mengestu,3.0,3.61,2014,272,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Passion of New Eve,Angela Carter,4.0,3.67,1977,187,data/goodreads/clean/goodreads_library_export-thirsa.csv
